               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 136,            0.043191,            0.035164,          0.00098822,             0.96144,             0.93303,             0.97327,             0.66154,            0.040493,            0.028961,          0.00061557,             0.00109,             0.00109,             0.00109
                 137,            0.042813,            0.038442,          0.00083187,               0.956,             0.92957,             0.97286,             0.66103,             0.04041,            0.029037,          0.00060678,            0.001024,            0.001024,            0.001024
                 138,            0.042352,            0.038838,            0.001138,             0.97224,             0.93004,             0.97669,             0.66389,            0.040353,            0.028993,          0.00060713,            0.000958,            0.000958,            0.000958
                 139,            0.042912,            0.037298,           0.0012551,             0.97073,             0.92929,             0.97463,             0.66527,            0.040381,            0.028929,          0.00059491,            0.000892,            0.000892,            0.000892
                 140,            0.042593,            0.037744,           0.0009994,             0.97207,             0.92932,             0.97723,             0.66787,            0.039961,            0.028789,          0.00057179,            0.000826,            0.000826,            0.000826
                 141,            0.042502,            0.038353,          0.00096834,             0.95139,             0.94863,             0.97661,             0.66644,            0.039902,            0.028737,          0.00056902,             0.00076,             0.00076,             0.00076
                 142,            0.041433,            0.036134,          0.00094885,             0.95026,             0.94546,              0.9744,             0.66429,            0.039903,            0.028667,          0.00057378,            0.000694,            0.000694,            0.000694
                 143,            0.041722,            0.035774,           0.0010187,              0.9571,             0.93455,             0.97264,             0.66924,            0.039899,            0.028673,          0.00057131,            0.000628,            0.000628,            0.000628
                 144,            0.042509,            0.034852,          0.00091861,             0.95596,             0.93876,             0.97316,             0.66953,            0.039746,             0.02852,          0.00057757,            0.000562,            0.000562,            0.000562
                 145,            0.042841,             0.03818,           0.0011393,             0.95132,             0.94202,             0.97415,             0.67461,            0.039704,             0.02844,          0.00058079,            0.000496,            0.000496,            0.000496
                 146,            0.043727,            0.036912,          0.00099206,             0.96061,             0.94313,             0.97532,             0.67387,            0.039775,            0.028463,          0.00058663,             0.00043,             0.00043,             0.00043
                 147,             0.04301,            0.038231,          0.00095187,             0.95936,             0.94529,             0.97396,             0.67095,            0.039788,            0.028418,          0.00057632,            0.000364,            0.000364,            0.000364
                 148,            0.043554,            0.037917,           0.0011452,             0.96018,               0.944,             0.97446,              0.6732,            0.039837,            0.028346,           0.0005706,            0.000298,            0.000298,            0.000298
                 149,            0.040851,            0.036791,            0.001052,             0.95773,             0.94489,              0.9747,              0.6691,            0.039735,              0.0284,          0.00057483,            0.000232,            0.000232,            0.000232
